date,AveragePrice
2016-06-24T00:00:00.000+05:30,1.0947313116000082E7
2016-05-27T00:00:00.000+05:30,1.011050118999995E7
2016-09-30T00:00:00.000+05:30,6009354.372000003
2015-11-19T00:00:00.000+05:30,9902953.82199998
2016-02-19T00:00:00.000+05:30,3066448.118000065
2016-05-20T00:00:00.000+05:30,1.3233490297999976E7
2016-09-29T00:00:00.000+05:30,-1.3853835885999963E7
2015-12-15T00:00:00.000+05:30,-2.3628286127999984E7
2016-09-20T00:00:00.000+05:30,554595.6659999627
2016-10-14T00:00:00.000+05:30,-4197003.761999981
2016-07-07T00:00:00.000+05:30,2409245.313999975
2016-08-24T00:00:00.000+05:30,-4647463.655999998
2016-02-02T00:00:00.000+05:30,-5.694145880600002E7
2016-01-27T00:00:00.000+05:30,-8.32280669440001E7
2015-11-20T00:00:00.000+05:30,1785211.931999949
2016-03-11T00:00:00.000+05:30,4700608.516000069
2016-02-26T00:00:00.000+05:30,-1.0953567048000047E7
2016-02-08T00:00:00.000+05:30,1.242028740000011E7
2016-10-24T00:00:00.000+05:30,1.6586227338000083E7
2016-08-23T00:00:00.000+05:30,809353.9939999802
2016-06-10T00:00:00.000+05:30,-6952108.602000023
2016-04-13T00:00:00.000+05:30,1.686574018800011E7
2016-03-14T00:00:00.000+05:30,8574900.944000024
2016-11-02T00:00:00.000+05:30,-6323321.590000017
2016-09-07T00:00:00.000+05:30,2736880.886000012
2016-03-23T00:00:00.000+05:30,-1.3359916964000057E7
2016-02-11T00:00:00.000+05:30,1.0611335945999939E7
2016-03-10T00:00:00.000+05:30,-1.1359272411999948E7
2015-11-27T00:00:00.000+05:30,-568088.2040000085
2015-12-04T00:00:00.000+05:30,6.6383848949999884E7
2016-05-16T00:00:00.000+05:30,2.4761103411999933E7
2016-08-31T00:00:00.000+05:30,2898844.9879999785
2016-02-25T00:00:00.000+05:30,1.8274625630000077E7
2015-12-01T00:00:00.000+05:30,9551789.136000019
2016-06-01T00:00:00.000+05:30,-2160221.6379999886
2016-11-01T00:00:00.000+05:30,-2.837410934799999E7
2015-12-08T00:00:00.000+05:30,7508543.38000006
2015-11-23T00:00:00.000+05:30,-1.0322245321999993E7
2016-05-24T00:00:00.000+05:30,1.718615511400006E7
2016-05-05T00:00:00.000+05:30,-4.191032821000008E7
2016-03-15T00:00:00.000+05:30,1.1713660258000074E7
2016-07-27T00:00:00.000+05:30,-2.6242558032000046E7
2015-11-10T00:00:00.000+05:30,-1.237427628200011E7
2016-08-05T00:00:00.000+05:30,1.5296295242000103E7
2016-01-26T00:00:00.000+05:30,1072424.8959998626
2016-08-30T00:00:00.000+05:30,-2147578.2499999846
2016-02-16T00:00:00.000+05:30,1.2211431994000081E7
2016-05-19T00:00:00.000+05:30,-1813226.435999963
2016-05-03T00:00:00.000+05:30,2412227.00000002
2016-05-17T00:00:00.000+05:30,-2.322253554200003E7
2016-04-19T00:00:00.000+05:30,-2.078158337800002E7
2016-10-31T00:00:00.000+05:30,-1.166363433200002E7
